iter	Passed	Remaining
1143	6370	10335
1144	6376	10331
1145	6382	10326
1146	6388	10320
1147	6394	10315
1148	6400	10310
1149	6406	10305
1150	6412	10300
1151	6417	10295
1152	6423	10289
1153	6428	10283
1154	6433	10277
1155	6439	10272
1156	6445	10267
1157	6451	10262
1158	6456	10256
1159	6462	10251
1160	6468	10245
1161	6473	10239
1162	6478	10233
1163	6483	10226
1164	6489	10221
1165	6494	10214
1166	6499	10208
1167	6505	10203
1168	6510	10197
1169	6515	10190
1170	6521	10185
1171	6526	10180
1172	6532	10175
1173	6539	10170
1174	6545	10166
1175	6551	10161
1176	6557	10156
1177	6562	10150
1178	6568	10145
1179	6574	10140
1180	6579	10134
1181	6585	10128
1182	6590	10121
1183	6596	10117
1184	6602	10112
1185	6608	10107
1186	6614	10102
1187	6620	10098
1188	6626	10093
1189	6633	10089
1190	6639	10084
1191	6645	10079
1192	6651	10075
1193	6657	10070
1194	6664	10065
1195	6670	10061
1196	6676	10056
1197	6682	10051
1198	6688	10047
1199	6694	10042
1200	6701	10037
1201	6707	10033
1202	6713	10028
1203	6720	10024
1204	6726	10019
1205	6732	10014
1206	6739	10010
1207	6745	10006
1208	6751	10001
1209	6758	9997
1210	6764	9993
1211	6770	9988
1212	6776	9983
1213	6783	9979
1214	6788	9973
1215	6795	9969
1216	6801	9964
1217	6808	9960
1218	6814	9956
1219	6820	9951
1220	6826	9946
1221	6832	9941
1222	6838	9936
1223	6844	9931
1224	6850	9926
1225	6856	9921
1226	6862	9916
1227	6868	9911
1228	6874	9906
1229	6881	9902
1230	6887	9897
1231	6894	9893
1232	6901	9889
1233	6907	9885
1234	6914	9881
1235	6920	9876
1236	6926	9871
1237	6931	9865
1238	6937	9860
1239	6943	9855
1240	6949	9850
1241	6954	9844
1242	6959	9837
1243	6964	9831
1244	6970	9825
1245	6975	9819
1246	6981	9813
1247	6986	9807
1248	6991	9802
1249	6997	9795
1250	7002	9790
1251	7008	9784
1252	7012	9777
1253	7018	9771
1254	7023	9765
1255	7028	9758
1256	7033	9752
1257	7039	9747
1258	7044	9741
1259	7049	9735
1260	7055	9730
1261	7061	9724
1262	7066	9718
1263	7071	9712
1264	7076	9705
1265	7081	9699
1266	7087	9694
1267	7093	9689
1268	7099	9684
1269	7105	9678
1270	7110	9673
1271	7116	9668
1272	7122	9662
1273	7128	9657
1274	7134	9652
1275	7140	9648
1276	7146	9642
1277	7152	9637
1278	7157	9631
1279	7163	9626
1280	7169	9621
1281	7175	9615
1282	7181	9610
1283	7187	9605
1284	7192	9599
1285	7198	9594
1286	7204	9589
1287	7211	9584
1288	7217	9580
1289	7223	9575
1290	7229	9570
1291	7235	9565
1292	7241	9559
1293	7246	9554
1294	7252	9549
1295	7258	9543
1296	7264	9538
1297	7269	9532
1298	7275	9527
1299	7281	9522
1300	7287	9516
1301	7293	9511
1302	7299	9507
1303	7306	9502
1304	7312	9498
1305	7319	9493
1306	7325	9488
1307	7330	9483
1308	7336	9477
1309	7342	9471
1310	7347	9466
1311	7353	9461
1312	7359	9455
1313	7364	9449
1314	7370	9443
1315	7375	9438
1316	7381	9432
1317	7387	9427
1318	7392	9421
1319	7398	9415
1320	7403	9409
1321	7407	9402
1322	7413	9397
1323	7419	9392
1324	7426	9387
1325	7432	9383
1326	7439	9378
1327	7445	9374
1328	7452	9369
1329	7459	9365
1330	7465	9361
1331	7471	9355
1332	7477	9350
1333	7482	9344
1334	7488	9339
1335	7494	9333
1336	7499	9328
1337	7505	9323
1338	7512	9319
1339	7518	9313
1340	7524	9308
1341	7530	9303
1342	7535	9297
1343	7541	9292
1344	7547	9286
1345	7552	9281
1346	7558	9275
1347	7564	9270
1348	7570	9265
1349	7576	9260
1350	7582	9254
1351	7587	9248
1352	7593	9243
1353	7598	9237
1354	7604	9232
1355	7610	9227
1356	7616	9221
1357	7621	9215
1358	7627	9210
1359	7633	9205
1360	7639	9200
1361	7645	9195
1362	7651	9190
1363	7658	9185
1364	7664	9180
1365	7670	9174
1366	7676	9170
1367	7682	9164
1368	7688	9159
1369	7694	9154
1370	7699	9148
1371	7705	9143
1372	7712	9138
1373	7717	9133
1374	7723	9128
1375	7729	9122
1376	7736	9118
1377	7741	9112
1378	7747	9107
1379	7753	9101
1380	7759	9096
1381	7764	9090
1382	7770	9085
1383	7776	9080
1384	7782	9075
1385	7788	9070
1386	7794	9064
1387	7800	9059
1388	7806	9053
1389	7812	9048
1390	7817	9043
1391	7823	9037
1392	7829	9032
1393	7835	9026
1394	7841	9021
1395	7846	9016
1396	7852	9010
1397	7857	9004
1398	7862	8998
1399	7868	8992
1400	7873	8986
1401	7879	8980
1402	7883	8973
1403	7889	8968
1404	7895	8962
1405	7900	8957
1406	7906	8951
1407	7912	8946
1408	7918	8941
1409	7924	8935
1410	7930	8930
1411	7936	8925
1412	7941	8919
1413	7947	8914
1414	7953	8909
1415	7959	8903
1416	7965	8898
1417	7970	8892
1418	7977	8887
1419	7983	8882
1420	7988	8876
1421	7994	8871
1422	8000	8866
1423	8006	8860
1424	8012	8855
1425	8018	8850
1426	8024	8845
1427	8030	8840
1428	8036	8834
1429	8042	8830
1430	8048	8824
1431	8054	8819
1432	8060	8813
1433	8066	8808
1434	8072	8803
1435	8078	8798
1436	8083	8792
1437	8089	8787
1438	8096	8782
1439	8102	8777
1440	8109	8773
1441	8115	8768
1442	8121	8762
1443	8127	8757
1444	8133	8752
1445	8139	8747
1446	8145	8741
1447	8151	8736
1448	8157	8731
1449	8163	8726
1450	8169	8721
1451	8176	8716
1452	8181	8710
1453	8187	8705
1454	8193	8700
1455	8200	8695
1456	8206	8691
1457	8212	8685
1458	8218	8680
1459	8223	8674
1460	8229	8668
1461	8235	8663
1462	8241	8658
1463	8247	8653
1464	8254	8648
1465	8260	8643
1466	8265	8637
1467	8271	8632
1468	8277	8627
1469	8283	8621
1470	8289	8615
1471	8294	8609
1472	8300	8604
1473	8306	8599
1474	8312	8594
1475	8318	8588
1476	8324	8583
1477	8330	8578
1478	8335	8572
1479	8342	8567
1480	8347	8562
1481	8354	8557
1482	8359	8551
1483	8365	8546
1484	8371	8540
1485	8377	8535
1486	8383	8530
1487	8389	8524
1488	8395	8519
1489	8401	8514
1490	8407	8509
1491	8413	8504
1492	8419	8498
1493	8425	8493
1494	8431	8488
1495	8437	8482
1496	8443	8477
1497	8449	8471
1498	8454	8466
1499	8461	8461
1500	8467	8455
1501	8472	8450
1502	8479	8445
1503	8484	8439
1504	8490	8434
1505	8496	8428
1506	8501	8422
1507	8507	8417
1508	8513	8412
1509	8519	8407
1510	8525	8401
1511	8531	8395
1512	8537	8390
1513	8543	8385
1514	8548	8379
1515	8553	8373
1516	8558	8367
1517	8564	8361
1518	8570	8356
1519	8575	8350
1520	8581	8344
1521	8586	8338
1522	8591	8332
1523	8596	8326
1524	8602	8320
1525	8608	8315
1526	8614	8310
1527	8620	8304
1528	8626	8298
1529	8631	8293
1530	8637	8287
1531	8643	8282
1532	8648	8275
1533	8653	8269
1534	8659	8264
1535	8665	8259
1536	8670	8253
1537	8677	8248
1538	8683	8243
1539	8689	8237
1540	8694	8232
1541	8700	8226
1542	8706	8220
1543	8712	8215
1544	8718	8210
1545	8723	8204
1546	8730	8199
1547	8736	8194
1548	8741	8188
1549	8747	8183
1550	8753	8177
1551	8759	8172
1552	8765	8167
1553	8771	8161
1554	8777	8156
1555	8784	8152
1556	8790	8147
1557	8796	8141
1558	8803	8136
1559	8809	8131
1560	8814	8125
1561	8819	8119
1562	8825	8113
1563	8830	8108
1564	8836	8102
1565	8841	8096
1566	8847	8090
1567	8852	8084
1568	8858	8079
1569	8864	8073
1570	8868	8067
1571	8874	8061
1572	8880	8056
1573	8886	8050
1574	8892	8045
1575	8897	8039
1576	8902	8033
1577	8908	8027
1578	8914	8022
1579	8919	8016
1580	8925	8010
1581	8931	8005
1582	8936	7999
1583	8941	7993
1584	8947	7987
1585	8953	7982
1586	8958	7976
1587	8964	7971
1588	8970	7965
1589	8975	7959
1590	8981	7953
1591	8986	7948
1592	8992	7942
1593	8997	7936
1594	9002	7930
1595	9008	7924
1596	9014	7919
1597	9019	7913
1598	9025	7907
1599	9031	7902
1600	9036	7896
1601	9042	7890
1602	9047	7884
1603	9052	7878
1604	9058	7873
1605	9064	7867
1606	9069	7862
1607	9074	7855
1608	9079	7849
1609	9085	7843
1610	9090	7838
1611	9096	7832
1612	9102	7827
1613	9107	7821
1614	9113	7815
1615	9119	7809
1616	9124	7804
1617	9129	7798
1618	9135	7792
1619	9140	7786
1620	9145	7780
1621	9151	7774
1622	9156	7768
1623	9161	7762
1624	9167	7757
1625	9173	7751
1626	9178	7745
1627	9184	7740
1628	9190	7734
1629	9195	7728
1630	9201	7723
1631	9206	7717
1632	9213	7712
1633	9218	7706
1634	9224	7701
1635	9230	7695
1636	9236	7690
1637	9242	7685
1638	9248	7679
1639	9254	7674
1640	9260	7669
1641	9267	7664
1642	9273	7658
1643	9279	7654
1644	9286	7649
